"","date","number_items_sold","number_page_view","sales_conversion","total_orders","sales_euro","returned","delivered","percreturned","most_searched_term","total_num_term_searches","femalesales","malesales","sales_1945","sales_1965","sales_1985","sales_2005","sales_2017","TG_avg_temp","FG_avg_wind","SQ_sunshine","RH_precipitation","NG_avg_cloud","UG_humidity"
"203",2017-07-22,125,1902,6.572,43,1419.29,104,147,70.75,"bikini",37,123,2,0,14,90,21,0,194,25,75,35,6,75
"204",2017-07-23,282,2896,9.738,103,2989.65,209,312,66.99,"bikini",60,237,45,3,40,199,40,0,160,33,47,112,7,85
"205",2017-07-24,302,2830,10.671,146,4352.01,221,367,60.22,"bikini",88,271,31,5,24,235,38,0,161,25,84,25,6,82
"206",2017-07-25,190,2065,9.201,92,2595.14,160,252,63.49,"bikini",60,172,18,0,27,123,40,0,167,33,40,83,7,86
"207",2017-07-26,232,2570,9.027,101,3265.13,243,344,70.64,"bikini",96,202,30,1,28,172,29,0,190,29,93,1,7,77
"208",2017-07-27,147,1908,7.704,71,2170.5,112,183,61.2,"bikini",47,125,22,1,21,94,31,0,185,40,47,-1,8,69
"209",2017-07-28,155,2025,7.654,71,2134.46,131,202,64.85,"bikini",56,141,14,0,12,124,19,0,172,52,34,17,7,78
"210",2017-07-29,105,1520,6.908,55,1532.82,72,127,56.69,"bikini",50,94,11,0,21,68,16,0,182,39,9,76,8,87
"211",2017-07-30,170,2144,7.929,79,2254.87,131,210,62.38,"bikini",44,164,6,0,20,125,25,0,188,41,85,14,7,76
"212",2017-07-31,370,3612,10.244,215,5370.04,214,429,49.88,"bikini",57,348,22,2,55,249,64,0,181,27,64,-1,8,73
